"DATA,tick_ms,scene,lux,pv_ok,pv_v,pv_i,pv_p,home_ok,home_v,home_i,home_p,home_soc,load_ok,load_v,load_i,load_p,car_soc,s3_valid,s3_v,s3_soc,s3_hr,s3_spo2,s3_state,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h"
"DATA,10008,0,2500.0,1,10.912,0.000,0.000,1,8.119,0.011,0.093,92.0,1,4.849,0.189,0.912,69,1,3.711,14.4,0,0,0,0,1,1,0,0,1,0,0,0"
"DATA,20035,0,2500.0,1,10.634,0.161,1.702,1,8.139,0.011,0.093,92.0,1,4.948,0.214,1.063,68,1,3.710,14.4,0,0,0,1,0,1,0,0,1,0,0,0"
"DATA,30046,0,2500.0,1,10.022,0.381,3.471,1,8.125,0.011,0.093,92.0,1,4.959,0.216,1.071,77,1,3.710,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,40061,0,2500.0,1,8.308,0.994,8.271,1,8.124,0.011,0.093,92.0,1,4.946,0.216,1.068,78,1,3.710,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,50098,0,2500.0,1,8.312,0.995,8.285,1,8.122,0.011,0.093,92.0,1,4.945,0.223,1.100,78,1,3.710,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,60130,0,2500.0,1,8.322,0.996,8.306,1,8.121,0.011,0.093,92.0,1,4.945,0.226,1.119,79,1,3.709,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,70134,0,2500.0,1,8.328,0.996,8.312,1,8.119,0.011,0.093,92.0,1,4.945,0.222,1.099,78,1,3.707,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,80172,0,2500.0,1,8.320,0.994,8.283,1,8.118,0.011,0.093,92.0,1,4.945,0.222,1.097,79,1,3.707,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,90188,0,2500.0,1,8.326,0.994,8.294,1,8.116,0.011,0.093,92.0,1,4.945,0.220,1.086,79,1,3.707,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,100217,0,2500.0,1,8.328,0.996,8.312,1,8.114,0.011,0.093,92.0,1,4.945,0.223,1.099,79,1,3.706,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,110239,0,2500.0,1,8.330,0.996,8.312,1,8.113,0.011,0.093,92.0,1,4.945,0.223,1.100,79,1,3.705,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,120264,0,2500.0,1,8.332,0.996,8.314,1,8.112,0.011,0.093,92.0,1,4.945,0.218,1.076,78,1,3.705,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,130309,0,2500.0,1,8.329,0.996,8.308,1,8.111,0.011,0.093,92.0,1,4.945,0.220,1.087,79,1,3.705,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,140309,0,2500.0,1,8.337,0.997,8.320,1,8.110,0.011,0.093,92.0,1,4.945,0.221,1.089,79,1,3.705,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,150331,0,2500.0,1,8.335,0.997,8.326,1,8.108,0.011,0.093,92.0,1,4.945,0.219,1.082,79,1,3.704,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
"DATA,160342,0,2500.0,1,8.332,0.997,8.318,1,8.107,0.011,0.093,92.0,1,4.944,0.218,1.077,78,1,3.704,14.4,0,0,0,1,0,1,0,0,1,0,1,0"
