"DATA,tick_ms,scene,lux,pv_ok,pv_v,pv_i,pv_p,home_ok,home_v,home_i,home_p,home_soc,load_ok,load_v,load_i,load_p,car_soc,s3_valid,s3_v,s3_soc,s3_hr,s3_spo2,s3_state,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h"
"DATA,10038,0,53.3,1,0.658,0.000,0.000,1,7.808,0.011,0.090,80.0,1,4.824,0.229,1.101,68,0,-1.000,-1.0,0,0,0,0,1,1,1,0,0,0,0,0"
"DATA,20041,0,60.8,1,0.658,0.000,0.000,1,7.845,0.011,0.090,80.0,1,4.831,0.208,1.002,68,1,3.885,64.3,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,30089,0,62.5,1,0.661,0.000,0.000,1,7.844,0.011,0.090,80.0,1,4.841,0.187,0.904,68,1,3.885,64.3,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,40098,0,62.5,1,0.660,0.000,0.000,1,7.842,0.011,0.090,80.0,1,4.841,0.187,0.904,68,1,3.885,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,50134,0,62.5,1,0.660,0.000,0.000,1,7.841,0.011,0.090,80.0,1,4.841,0.187,0.904,68,1,3.885,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,60182,0,62.5,1,0.661,0.000,0.000,1,7.840,0.011,0.090,80.0,1,4.842,0.188,0.904,68,1,3.885,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,70215,0,62.5,1,0.661,0.000,0.000,1,7.837,0.011,0.090,80.0,1,4.842,0.188,0.904,68,1,3.885,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,80237,0,62.5,1,0.662,0.000,0.000,1,7.835,0.011,0.090,80.0,1,4.843,0.188,0.906,68,1,3.885,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,90237,0,62.5,1,0.662,0.000,0.000,1,7.835,0.011,0.090,80.0,1,4.843,0.188,0.916,68,1,3.885,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,100270,0,53.3,1,0.662,0.000,0.000,1,7.833,0.011,0.090,80.0,1,4.843,0.188,0.916,68,1,3.885,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,110290,0,60.8,1,0.662,0.000,0.000,1,7.831,0.011,0.090,80.0,1,4.843,0.188,0.916,68,1,3.884,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,120329,0,27.5,1,0.661,0.000,0.000,1,7.829,0.011,0.090,80.0,1,4.843,0.188,0.916,68,1,3.884,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,130331,0,62.5,1,0.662,0.000,0.000,1,7.827,0.011,0.090,80.0,1,4.843,0.188,0.911,68,1,3.884,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,140344,0,62.5,1,0.662,0.000,0.000,1,7.826,0.011,0.090,80.0,1,4.843,0.188,0.911,68,1,3.884,64.1,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,150387,0,61.7,1,0.662,0.000,0.000,1,7.824,0.011,0.090,80.0,1,4.843,0.188,0.915,68,1,3.882,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,160389,0,26.7,1,0.661,0.000,0.000,1,7.821,0.011,0.090,80.0,1,4.843,0.188,0.915,68,1,3.882,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,170416,0,62.5,1,0.662,0.000,0.000,1,7.820,0.011,0.090,80.0,1,4.843,0.188,0.915,68,1,3.882,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,180423,0,40.8,1,0.662,0.000,0.000,1,7.818,0.011,0.090,80.0,1,4.843,0.188,0.915,68,1,3.882,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,190440,0,45.8,1,0.662,0.000,0.000,1,7.817,0.011,0.090,80.0,1,4.844,0.188,0.915,68,1,3.882,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,200475,0,63.3,1,0.662,0.000,0.000,1,7.818,0.011,0.090,80.0,1,4.843,0.188,0.916,68,1,3.881,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,210506,0,63.3,1,0.662,0.000,0.000,1,7.815,0.011,0.090,80.0,1,4.844,0.188,0.916,68,1,3.881,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,220534,0,63.3,1,0.662,0.000,0.000,1,7.814,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.880,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,230560,0,63.3,1,0.663,0.000,0.000,1,7.812,0.011,0.090,80.0,1,4.845,0.189,0.916,68,1,3.880,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,240599,0,63.3,1,0.663,0.000,0.000,1,7.811,0.011,0.090,80.0,1,4.845,0.189,0.916,68,1,3.880,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,250614,0,63.3,1,0.662,0.000,0.000,1,7.810,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.880,64.0,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,260637,0,63.3,1,0.662,0.000,0.000,1,7.809,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.880,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,270664,0,63.3,1,0.664,0.000,0.000,1,7.807,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.880,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,280679,0,63.3,1,0.663,0.000,0.000,1,7.806,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.880,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,290718,0,63.3,1,0.662,0.000,0.000,1,7.804,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.880,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,300729,0,63.3,1,0.663,0.000,0.000,1,7.803,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.880,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,310744,0,63.3,1,0.663,0.000,0.000,1,7.802,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.880,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,320753,0,62.5,1,0.663,0.000,0.000,1,7.801,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.879,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,330775,0,62.5,1,0.664,0.000,0.000,1,7.800,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.877,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,340778,0,63.3,1,0.663,0.000,0.000,1,7.798,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.877,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,350818,0,63.3,1,0.663,0.000,0.000,1,7.798,0.011,0.090,80.0,1,4.844,0.189,0.916,68,1,3.877,63.8,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,360823,0,61.7,1,0.662,0.000,0.000,1,7.796,0.011,0.090,80.0,1,4.843,0.189,0.916,68,1,3.877,63.7,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,370850,0,62.5,1,0.662,0.000,0.000,1,7.794,0.011,0.090,79.9,1,4.843,0.189,0.916,68,1,3.877,63.7,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,380852,0,64.2,1,0.663,0.000,0.000,1,7.793,0.011,0.090,79.9,1,4.844,0.189,0.916,68,1,3.877,63.7,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,390888,0,64.2,1,0.662,0.000,0.000,1,7.792,0.011,0.089,79.9,1,4.843,0.189,0.916,68,1,3.877,63.7,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,400937,0,63.3,1,0.662,0.000,0.000,1,7.790,0.011,0.089,79.9,1,4.843,0.189,0.916,68,1,3.877,63.7,0,0,0,0,1,1,0,0,0,0,0,0"
