"DATA,tick_ms,scene,lux,pv_ok,pv_v,pv_i,pv_p,home_ok,home_v,home_i,home_p,home_soc,load_ok,load_v,load_i,load_p,car_soc,s3_valid,s3_v,s3_soc,s3_hr,s3_spo2,s3_state,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h"
"DATA,10017,0,50.8,1,0.981,0.000,0.000,1,6.526,0.011,0.075,14.0,1,4.838,0.190,0.921,65,0,-1.000,-1.0,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,20026,0,30.0,1,0.969,0.000,0.000,1,6.525,0.011,0.075,14.0,1,4.844,0.191,0.922,64,1,3.659,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,30066,0,30.0,1,0.964,0.000,0.000,1,6.519,0.011,0.075,14.0,1,4.849,0.191,0.922,64,1,3.658,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,40101,0,29.2,1,0.970,0.000,0.000,1,6.512,0.011,0.075,14.0,1,4.848,0.192,0.922,64,1,3.658,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,50138,0,49.2,1,0.959,0.000,0.000,1,6.507,0.011,0.075,14.0,1,4.851,0.192,0.933,64,1,3.666,6.2,0,0,5,0,0,1,0,0,0,0,0,1"
"DATA,60159,0,45.8,1,0.957,0.000,0.000,1,6.502,0.011,0.075,14.0,1,4.851,0.192,0.934,64,1,3.666,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,70198,0,45.0,1,0.967,0.000,0.000,1,6.498,0.011,0.075,14.0,1,4.849,0.192,0.934,64,1,3.665,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,80233,0,53.3,1,0.965,0.000,0.000,1,6.492,0.011,0.075,14.0,1,4.849,0.193,0.935,64,1,3.665,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,90273,0,52.5,1,0.962,0.000,0.000,1,6.488,0.011,0.075,14.0,1,4.852,0.193,0.935,64,1,3.665,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,100307,0,48.3,1,0.961,0.000,0.000,1,6.483,0.011,0.074,14.0,1,4.852,0.193,0.935,64,1,3.665,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,110343,0,60.8,1,0.965,0.000,0.000,1,6.477,0.011,0.074,14.0,1,4.851,0.193,0.935,64,1,3.665,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,120365,0,64.2,1,0.966,0.000,0.000,1,6.473,0.011,0.074,14.0,1,4.850,0.193,0.935,64,1,3.665,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,130367,0,64.2,1,0.961,0.000,0.000,1,6.468,0.011,0.074,14.0,1,4.852,0.193,0.935,64,1,3.665,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,140407,0,64.2,1,0.965,0.000,0.000,1,6.462,0.011,0.074,14.0,1,4.851,0.193,0.935,64,1,3.665,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,150435,0,64.2,1,0.972,0.000,0.000,1,6.458,0.011,0.074,14.0,1,4.849,0.193,0.935,64,1,3.664,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,160483,0,63.3,1,0.965,0.000,0.000,1,6.453,0.011,0.074,14.0,1,4.851,0.193,0.935,64,1,3.662,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
"DATA,170532,0,63.3,1,0.961,0.000,0.000,1,6.448,0.011,0.074,14.0,1,4.853,0.193,0.935,64,1,3.662,6.2,0,0,0,0,0,1,0,0,0,0,0,1"
