
-­^m/	o^­Y/	/þLCD ID:5510
DATA,period_ms,real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h
CTP ID:9147
DATA,92000,-0.236626,-0.971601,66.7,0.672,0.000,7.909,84.3,1.754,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,94000,-0.236768,-0.971566,66.7,0.672,0.000,7.908,84.2,1.754,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,96000,-0.236909,-0.971532,66.7,0.672,0.000,7.909,84.3,1.754,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,98000,-0.237050,-0.971497,66.7,0.672,0.000,7.908,84.3,1.754,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,100000,-0.237192,-0.971463,66.7,0.672,0.000,7.908,84.3,1.754,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,102000,-0.237333,-0.971428,66.7,0.673,0.000,7.908,84.3,1.755,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,104000,-0.237474,-0.971394,66.7,0.673,0.000,7.909,84.3,1.755,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,106000,-0.237615,-0.971359,66.7,0.673,0.000,7.908,84.2,1.755,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,108000,-0.237757,-0.971325,66.7,0.673,0.000,7.908,84.3,1.755,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,110000,-0.237898,-0.971290,66.7,0.673,0.000,7.907,84.2,1.754,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,112000,-0.238039,-0.971256,66.7,0.673,0.000,7.906,84.1,1.752,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,114000,-0.238180,-0.971221,66.7,0.673,0.000,7.906,84.1,1.752,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,116000,-0.238322,-0.971186,66.7,0.673,0.000,7.907,84.2,1.752,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,118000,-0.238463,-0.971152,66.7,0.673,0.000,7.907,84.2,1.752,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,120000,-0.238604,-0.971117,66.7,0.673,0.000,7.904,84.0,1.752,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,122000,-0.238745,-0.971082,66.7,0.673,0.000,7.906,84.1,1.752,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,124000,-0.238887,-0.971047,66.7,0.673,0.000,7.907,84.2,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,126000,-0.239028,-0.971013,66.7,0.673,0.000,7.906,84.2,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,128000,-0.239169,-0.970978,66.7,0.674,0.000,7.905,84.1,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,130000,-0.239310,-0.970943,66.7,0.674,0.000,7.907,84.2,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,132000,-0.239451,-0.970908,66.7,0.674,0.000,7.906,84.1,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,134000,-0.239593,-0.970873,66.7,0.674,0.000,7.907,84.2,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,136000,-0.239734,-0.970839,66.7,0.674,0.000,7.906,84.1,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,138000,-0.239875,-0.970804,66.7,0.673,0.000,7.905,84.1,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,140000,-0.240016,-0.970769,66.7,0.674,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,142000,-0.240157,-0.970734,66.7,0.674,0.000,7.905,84.1,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,144000,-0.240299,-0.970699,66.7,0.674,0.000,7.905,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,146000,-0.240440,-0.970664,66.7,0.673,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,148000,-0.240581,-0.970629,66.7,0.673,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,150000,-0.240722,-0.970594,66.7,0.672,0.000,7.903,83.9,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,152000,-0.240863,-0.970559,66.7,0.672,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,154000,-0.241004,-0.970524,66.7,0.673,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,156000,-0.241146,-0.970489,66.7,0.673,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,158000,-0.241287,-0.970454,66.7,0.673,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,160000,-0.241428,-0.970419,66.7,0.673,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,162000,-0.241569,-0.970384,66.7,0.673,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,164000,-0.241710,-0.970348,66.7,0.673,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,166000,-0.241851,-0.970313,66.7,0.672,0.000,7.903,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,168000,-0.241992,-0.970278,66.7,0.672,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,170000,-0.242134,-0.970243,66.7,0.672,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,172000,-0.242275,-0.970208,66.7,0.672,0.000,7.902,83.9,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,174000,-0.242416,-0.970172,66.7,0.672,0.000,7.902,83.9,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,176000,-0.242557,-0.970137,66.7,0.672,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,178000,-0.242698,-0.970102,66.7,0.672,0.000,7.903,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,180000,-0.242839,-0.970067,66.7,0.673,0.000,7.903,83.9,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,182000,-0.242980,-0.970031,66.7,0.673,0.000,7.904,84.0,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,184000,-0.243122,-0.969996,66.7,0.673,0.000,7.902,83.9,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,186000,-0.243262,-0.969961,66.7,0.673,0.000,7.902,83.9,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,188000,-0.243404,-0.969925,66.7,0.673,0.000,7.902,83.9,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,190000,-0.243545,-0.969890,66.7,0.672,0.000,7.900,83.8,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,192000,-0.243686,-0.969854,66.7,0.673,0.000,7.900,83.8,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,194000,-0.243827,-0.969819,66.7,0.672,0.000,7.901,83.8,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,196000,-0.243968,-0.969783,66.7,0.672,0.000,7.900,83.7,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,198000,-0.244109,-0.969748,66.7,0.672,0.000,7.900,83.7,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,200000,-0.244250,-0.969712,66.7,0.672,0.000,7.901,83.8,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,202000,-0.244391,-0.969677,66.7,0.673,0.000,7.901,83.8,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,204000,-0.244532,-0.969641,66.7,0.673,0.000,7.901,83.8,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,206000,-0.244673,-0.969606,66.7,0.673,0.000,7.901,83.8,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,208000,-0.244814,-0.969570,66.7,0.673,0.000,7.902,83.9,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,210000,-0.244955,-0.969534,66.7,0.673,0.000,7.900,83.7,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,212000,-0.245096,-0.969499,66.7,0.672,0.000,7.901,83.8,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,214000,-0.245237,-0.969463,66.7,0.672,0.000,7.900,83.7,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,216000,-0.245378,-0.969427,66.7,0.672,0.000,7.901,83.8,1.751,93.3,75.2,0,1,1,0,0,0,0,0,0
