family,model,future_pv_p_mae,future_pv_p_rmse,future_load_p_mae,future_load_p_rmse,future_home_soc_mae,future_home_soc_rmse,overall_mae_scaled,size_bytes,size_kb
keras,teacher,0.0493314303457737,0.07292717695236206,0.0881122499704361,0.25389519333839417,2.7285385131835938,4.565601825714111,0.024805966271614164,,
keras,student_distilled,0.14486828446388245,0.3540272116661072,0.1559542864561081,0.2842476963996887,2.256608724594116,4.034733772277832,0.036917621929785094,,
keras,student_pruned,0.028955984860658646,0.04072878882288933,0.15564332902431488,0.30513179302215576,3.298393487930298,6.677206993103027,0.036053821481303296,,
keras,qat_or_pruned,0.0299605093896389,0.0421798899769783,0.1493837833404541,0.2969870865345001,3.385429620742798,6.803730010986328,0.03547949531009936,,
tflite,float32,0.0493314303457737,0.07292718440294266,0.08811227977275848,0.25389519333839417,2.7285385131835938,4.565601825714111,0.02480597005841099,55004.0,53.71484375
tflite,dynamic,0.049282390624284744,0.0726381167769432,0.08917365968227386,0.2540460526943207,2.9105031490325928,4.691294193267822,0.025615754719849407,42832.0,41.828125
tflite,int8,0.2748199701309204,0.47262102365493774,0.09890862554311752,0.2522178590297699,4.129268169403076,5.716494083404541,0.040323999736504135,57048.0,55.7109375
